,complaint,impression,diagnosis,count
2,Abdominal Pain Problems,Abdominal Pain,Abdominal Pain,24
5,Abdominal Pain Problems,Abdominal Pain,Acute Pancreatitis,9
7,Abdominal Pain Problems,Abdominal Pain,Acute Postprocedural Pain,2
11,Abdominal Pain Problems,Abdominal Pain,Alcohol Dependence,2
12,Abdominal Pain Problems,Abdominal Pain,Alcohol Induced Acute Pancreatitis,3
15,Abdominal Pain Problems,Abdominal Pain,Ascites,2
17,Abdominal Pain Problems,Abdominal Pain,Calculus Of Gallbladder,7
18,Abdominal Pain Problems,Abdominal Pain,Calculus Of Gb And Bile Duct,2
19,Abdominal Pain Problems,Abdominal Pain,Calculus Of Kidney,8
20,Abdominal Pain Problems,Abdominal Pain,Calculus Of Ureter,2
22,Abdominal Pain Problems,Abdominal Pain,Chest Pain,2
28,Abdominal Pain Problems,Abdominal Pain,Chronic Pancreatitis,3
30,Abdominal Pain Problems,Abdominal Pain,Constipation,10
35,Abdominal Pain Problems,Abdominal Pain,Cyclical Vomiting,3
41,Abdominal Pain Problems,Abdominal Pain,Disorder Of Teeth And Supporting Structures,2
44,Abdominal Pain Problems,Abdominal Pain,Dvtrcli Of Lg Int,3
48,Abdominal Pain Problems,Abdominal Pain,Epigastric Pain,15
54,Abdominal Pain Problems,Abdominal Pain,Gastritis,5
57,Abdominal Pain Problems,Abdominal Pain,Gastrointestinal Hemorrhage,2
58,Abdominal Pain Problems,Abdominal Pain,Generalized Abdominal Pain,6
61,Abdominal Pain Problems,Abdominal Pain,Hydronephrosis,5
62,Abdominal Pain Problems,Abdominal Pain,HypoOsmolality And Hyponatremia,2
64,Abdominal Pain Problems,Abdominal Pain,Ileus,2
67,Abdominal Pain Problems,Abdominal Pain,Intestinal Obstruction,10
71,Abdominal Pain Problems,Abdominal Pain,Left Lower Quadrant Pain,9
72,Abdominal Pain Problems,Abdominal Pain,Left Upper Quadrant Pain,4
74,Abdominal Pain Problems,Abdominal Pain,Major Depressive Disorder,4
78,Abdominal Pain Problems,Abdominal Pain,Migraine,3
79,Abdominal Pain Problems,Abdominal Pain,Nausea,13
81,Abdominal Pain Problems,Abdominal Pain,Noninfective Gastroenteritis And Colitis,8
87,Abdominal Pain Problems,Abdominal Pain,Pelvic And Perineal Pain,2
91,Abdominal Pain Problems,Abdominal Pain,Pnctr Of Abd Wall,4
92,Abdominal Pain Problems,Abdominal Pain,Pneumonia,2
93,Abdominal Pain Problems,Abdominal Pain,Postprocedural Complications And Disorder Of Dgstv Sys,2
97,Abdominal Pain Problems,Abdominal Pain,Retention Of Urine,2
98,Abdominal Pain Problems,Abdominal Pain,Right Lower Quadrant Pain,9
99,Abdominal Pain Problems,Abdominal Pain,Right Upper Quadrant Pain,2
100,Abdominal Pain Problems,Abdominal Pain,RotatrCuff Tear Ruptr Of Shoulder,2
102,Abdominal Pain Problems,Abdominal Pain,Sepsis,14
106,Abdominal Pain Problems,Abdominal Pain,Strain Of Musclele,2
109,Abdominal Pain Problems,Abdominal Pain,Toxic Liver Disease,2
114,Abdominal Pain Problems,Abdominal Pain,Unilateral Inguinal Hernia,3
115,Abdominal Pain Problems,Abdominal Pain,Urinary Tract Infection,14
117,Abdominal Pain Problems,Abdominal Pain,Viral Intestinal Infection,2
119,Abdominal Pain Problems,Abdominal Pain,Vomiting,2
120,Abdominal Pain Problems,Abdominal Tenderness,Abdominal Pain,3
121,Abdominal Pain Problems,Abdominal Tenderness,Acute Pancreatitis,2
137,Abdominal Pain Problems,Abdominal Tenderness,Epigastric Pain,4
144,Abdominal Pain Problems,Abdominal Tenderness,Nausea,2
147,Abdominal Pain Problems,Abdominal Tenderness,Right Upper Quadrant Pain,3
169,Abdominal Pain Problems,Behavioral Mental Disorder Not Otherwise Listed,Abdominal Pain,2
170,Abdominal Pain Problems,Behavioral Mental Disorder Not Otherwise Listed,Epigastric Pain,2
176,Abdominal Pain Problems,CV Chest Pain Presumed Cardiac,Chest Pain,4
191,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Abdominal Pain,23
192,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Abnormal Uterine And Vaginal Bleeding,2
195,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Acute Kidney Failure,2
196,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Acute Pancreatitis,3
197,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Acute Postprocedural Pain,2
198,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Acute Pyelonephritis,2
199,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Adjustment Disorder,2
200,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Alcohol Induced Acute Pancreatitis,3
203,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Calculus Of Gallbladder,7
205,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Calculus Of Kidney,5
206,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Calculus Of Ureter,3
207,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Chest Pain,4
212,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Constipation,4
223,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Enterocolitis,2
224,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Epigastric Pain,11
228,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Gastritis,4
229,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Generalized Abdominal Pain,12
232,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Hydronephrosis,6
235,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Ileus,2
243,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Migraine,2
244,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Nausea,6
246,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Noninfective Gastroenteritis And Colitis,6
247,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Ovarian Cyst,2
251,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Periumbilical Pain,2
254,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Poisoning By 4Aminophenol Derivatives,2
255,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Renal Colic,2
257,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Right Lower Quadrant Pain,6
258,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Right Upper Quadrant Pain,5
259,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Sepsis,4
266,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Urinary Tract Infection,8
267,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Viral Intestinal Infection,3
269,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Vomiting,2
283,Abdominal Pain Problems,GI GU Bowel Obstruction,Intestnl Obst,2
286,Abdominal Pain Problems,GI GU Constipation,Abdominal Pain,2
289,Abdominal Pain Problems,GI GU Constipation,Constipation,3
304,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Abdominal Pain,21
305,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Acute Gastritis,2
308,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Acute Pancreatitis,8
309,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Acute Postprocedural Pain,4
312,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Alcohol Induced Acute Pancreatitis,2
321,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Biliary Acute Pancreatitis,3
322,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Calculus Of Gallbladder,7
323,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Calculus Of Gb,2
324,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Calculus Of Gb And Bile Duct,3
325,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Calculus Of Kidney,3
326,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Calculus Of Ureter,8
328,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Chronic Or Duodenal Ulcer,2
329,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Chronic Pain,3
331,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Chronic Pancreatitis,2
336,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Contusion Of Abdominal Wall,2
339,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,CrohnS Disease,2
342,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Cystitis,2
344,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Diarrhea,3
355,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Encounter For Screening,2
