,complaint,impression,diagnosis,count
2,Abdominal Pain Problems,Abdominal Pain,Abdominal Pain,24
5,Abdominal Pain Problems,Abdominal Pain,Acute Pancreatitis,9
12,Abdominal Pain Problems,Abdominal Pain,Alcohol Induced Acute Pancreatitis,3
17,Abdominal Pain Problems,Abdominal Pain,Calculus Of Gallbladder,7
19,Abdominal Pain Problems,Abdominal Pain,Calculus Of Kidney,8
28,Abdominal Pain Problems,Abdominal Pain,Chronic Pancreatitis,3
30,Abdominal Pain Problems,Abdominal Pain,Constipation,10
35,Abdominal Pain Problems,Abdominal Pain,Cyclical Vomiting,3
44,Abdominal Pain Problems,Abdominal Pain,Dvtrcli Of Lg Int,3
48,Abdominal Pain Problems,Abdominal Pain,Epigastric Pain,15
54,Abdominal Pain Problems,Abdominal Pain,Gastritis,5
58,Abdominal Pain Problems,Abdominal Pain,Generalized Abdominal Pain,6
61,Abdominal Pain Problems,Abdominal Pain,Hydronephrosis,5
67,Abdominal Pain Problems,Abdominal Pain,Intestinal Obstruction,10
71,Abdominal Pain Problems,Abdominal Pain,Left Lower Quadrant Pain,9
72,Abdominal Pain Problems,Abdominal Pain,Left Upper Quadrant Pain,4
74,Abdominal Pain Problems,Abdominal Pain,Major Depressive Disorder,4
78,Abdominal Pain Problems,Abdominal Pain,Migraine,3
79,Abdominal Pain Problems,Abdominal Pain,Nausea,13
81,Abdominal Pain Problems,Abdominal Pain,Noninfective Gastroenteritis And Colitis,8
91,Abdominal Pain Problems,Abdominal Pain,Pnctr Of Abd Wall,4
98,Abdominal Pain Problems,Abdominal Pain,Right Lower Quadrant Pain,9
102,Abdominal Pain Problems,Abdominal Pain,Sepsis,14
114,Abdominal Pain Problems,Abdominal Pain,Unilateral Inguinal Hernia,3
115,Abdominal Pain Problems,Abdominal Pain,Urinary Tract Infection,14
120,Abdominal Pain Problems,Abdominal Tenderness,Abdominal Pain,3
137,Abdominal Pain Problems,Abdominal Tenderness,Epigastric Pain,4
147,Abdominal Pain Problems,Abdominal Tenderness,Right Upper Quadrant Pain,3
176,Abdominal Pain Problems,CV Chest Pain Presumed Cardiac,Chest Pain,4
191,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Abdominal Pain,23
196,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Acute Pancreatitis,3
200,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Alcohol Induced Acute Pancreatitis,3
203,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Calculus Of Gallbladder,7
205,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Calculus Of Kidney,5
206,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Calculus Of Ureter,3
207,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Chest Pain,4
212,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Constipation,4
224,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Epigastric Pain,11
228,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Gastritis,4
229,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Generalized Abdominal Pain,12
232,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Hydronephrosis,6
244,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Nausea,6
246,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Noninfective Gastroenteritis And Colitis,6
257,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Right Lower Quadrant Pain,6
258,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Right Upper Quadrant Pain,5
259,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Sepsis,4
266,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Urinary Tract Infection,8
267,Abdominal Pain Problems,GI GU Abdominal Pain Acute Onset,Viral Intestinal Infection,3
289,Abdominal Pain Problems,GI GU Constipation,Constipation,3
304,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Abdominal Pain,21
308,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Acute Pancreatitis,8
309,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Acute Postprocedural Pain,4
321,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Biliary Acute Pancreatitis,3
322,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Calculus Of Gallbladder,7
324,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Calculus Of Gb And Bile Duct,3
325,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Calculus Of Kidney,3
326,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Calculus Of Ureter,8
329,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Chronic Pain,3
344,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Diarrhea,3
357,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Epigastric Pain,12
362,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Gastritis,4
366,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Generalized Abdominal Pain,14
368,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Hydronephrosis,10
372,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Intestinal Obstruction,4
379,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Major Depressive Disorder,3
382,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Nausea,6
384,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Noninfective Gastroenteritis And Colitis,7
387,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Ovarian Cyst,5
394,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Proc Trtmt Not Crd Out D T Pt Lv Bef Seen By Hlth Care Prov,3
401,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Right Lower Quadrant Pain,7
406,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Sepsis,8
413,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,TubuloInterstitial Nephritis,3
421,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Urinary Tract Infection,3
481,Abdominal Pain Problems,Injury Abdomen,Pnctr Of Abd Wall,4
508,Abdominal Pain Problems,Not Applicable,Sepsis,3
531,Abdominal Pain Problems,Not Recorded,Generalized Abdominal Pain,4
543,Abdominal Pain Problems,Not Recorded,Noninfective Gastroenteritis And Colitis,3
607,Abdominal Pain Problems,Weakness,Abdominal Pain,4
635,Allergic Reaction Stings,Allergic Reaction,Adverse Food Reactions,17
637,Allergic Reaction Stings,Allergic Reaction,Allergy,25
639,Allergic Reaction Stings,Allergic Reaction,Anaphylactic Reaction,8
640,Allergic Reaction Stings,Allergic Reaction,Anaphylactic Shock,9
641,Allergic Reaction Stings,Allergic Reaction,Angioneurotic Edema,8
643,Allergic Reaction Stings,Allergic Reaction,Cellulitis Of Limb,3
665,Allergic Reaction Stings,Allergic Reaction,Sepsis,3
671,Allergic Reaction Stings,Allergic Reaction,Toxic Effect Of Venom Of Bees,9
673,Allergic Reaction Stings,Allergic Reaction,Toxic Effect Of Venom Of Wasps,5
676,Allergic Reaction Stings,Allergic Reaction With Shock Anaphylaxis,Allergy,4
755,Allergic Reaction Stings,Shock Anaphylactic,Anaphylactic Reaction,3
767,Allergic Reaction Stings,Weakness,Chest Pain,3
776,Allergic Reaction Stings,Weakness,Weakness,3
823,Assault,Abuse Of Alcohol,Alcohol Abuse,5
873,Assault,Behavioral Mental Disorder Not Otherwise Listed,Restlessness And Agitation,3
877,Assault,Behavioral Mental Disorder Not Otherwise Listed,Suicidal Ideations,3
933,Assault,Injury Eye And Or Orbit,Contusion Of Head,3
946,Assault,Injury Face,Fracture Of Nasal Bones,3
947,Assault,Injury Face,Fracture Of Orbital Floor,3
948,Assault,Injury Face,Injury Of Head,4
950,Assault,Injury Face,Laceration ,6
960,Assault,Injury Head,Concussion,3
969,Assault,Injury Head,Injury Of Head,6
971,Assault,Injury Head,Laceration ,16
987,Assault,Injury Head Without Loc,Injury Of Head,3
988,Assault,Injury Head Without Loc,Laceration ,5
1009,Assault,Injury Not Otherwise Listed,Concussion,5
1015,Assault,Injury Not Otherwise Listed,Contusion Of Front Wall Of Thorax,4
1016,Assault,Injury Not Otherwise Listed,Contusion Of Head,9
1017,Assault,Injury Not Otherwise Listed,Contusion Of Scalp,3
1032,Assault,Injury Not Otherwise Listed,Fracture Of Base Of Skull,4
1035,Assault,Injury Not Otherwise Listed,Fracture Of Nasal Bones,3
1039,Assault,Injury Not Otherwise Listed,Fracture Of Orbital Floor,3
1043,Assault,Injury Not Otherwise Listed,Headache,3
1047,Assault,Injury Not Otherwise Listed,Laceration ,29
1092,Assault,Injury Wrist Hand Or Fingers,Laceration ,3
