source,target,value,link,nodes
Abuse of Alcohol , Abrasion of other part of head initial encounter,1,"{source:""Abuse of Alcohol"", target:""Abrasion of other part of head initial encounter"", value: 1}","{id:""Abdominal tenderness""}"
Abuse of Alcohol , Alcohol dependence with intoxication uncomplicated,1,"{source:""Abuse of Alcohol"", target:""Alcohol dependence with intoxication uncomplicated"", value: 1}","{id:""Abuse of Alcohol Intoxication""}"
Abuse of Alcohol , Alcohol dependence with withdrawal uncomplicated,1,"{source:""Abuse of Alcohol"", target:""Alcohol dependence with withdrawal uncomplicated"", value: 1}","{id:""Abuse of Alcohol Withdrawal""}"
Abuse of Alcohol , Alcohol induced acute pancreatitis without necrosis or infct,1,"{source:""Abuse of Alcohol"", target:""Alcohol induced acute pancreatitis without necrosis or infct"", value: 1}","{id:""Abuse of Alcohol""}"
Abuse of Alcohol , Altered mental status unspecified,1,"{source:""Abuse of Alcohol"", target:""Altered mental status unspecified"", value: 1}","{id:""Abuse of Hallucinogen""}"
Abuse of Alcohol , Chest pain unspecified,1,"{source:""Abuse of Alcohol"", target:""Chest pain unspecified"", value: 1}","{id:""Abuse of Narcotic i.e. Heroin""}"
Abuse of Alcohol , Cutaneous abscess of neck,1,"{source:""Abuse of Alcohol"", target:""Cutaneous abscess of neck"", value: 1}","{id:""Abuse of Psychoactive Substance""}"
Abuse of Alcohol , Laceration without foreign body of left wrist init encntr,1,"{source:""Abuse of Alcohol"", target:""Laceration without foreign body of left wrist init encntr"", value: 1}","{id:""Abuse of Sedative Hypnotic or Anxiolytic""}"
Abuse of Alcohol , Major depressv disorder recurrent severe w o psych features,1,"{source:""Abuse of Alcohol"", target:""Major depressv disorder recurrent severe w o psych features"", value: 1}","{id:""Acute kidney failure""}"
Acute kidney failure , Sepsis unspecified organism,1,"{source:""Acute kidney failure"", target:""Sepsis unspecified organism"", value: 1}","{id:""Alcohol abuse with intoxication unspecified""}"
Behavioral  Mental Disorder Not Otherwise Listed , Vomiting unspecified,1,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Vomiting unspecified"", value: 1}","{id:""Alcohol dependence with intoxication unspecified""}"
Breathing Problem , Hyperglycemia,1,"{source:""Breathing Problem"", target:""Hyperglycemia"", value: 1}","{id:""Allergic Reaction""}"
Chest Pain Non Traumatic , Injury  Head,1,"{source:""Chest Pain Non Traumatic"", target:""Injury Head"", value: 1}","{id:""Behavioral Anxiety""}"
CV  Chest Pain  Angina , Chronic systolic congestive heart failure,1,"{source:""CV Chest Pain Angina"", target:""Chronic systolic congestive heart failure"", value: 1}","{id:""Behavioral Depression""}"
General Malaise , Vomiting unspecified,1,"{source:""General Malaise"", target:""Vomiting unspecified"", value: 1}","{id:""Behavioral Disorientation""}"
GI GU  Diarrhea , Vomiting unspecified,1,"{source:""GI GU Diarrhea"", target:""Vomiting unspecified"", value: 1}","{id:""Behavioral Hallucination Visual""}"
GI GU  Generalized Abdominal Pain , Vomiting unspecified,1,"{source:""GI GU Generalized Abdominal Pain"", target:""Vomiting unspecified"", value: 1}","{id:""Behavioral Hostile""}"
GI GU  Nausea , Acute upper respiratory infection unspecified,1,"{source:""GI GU Nausea"", target:""Acute upper respiratory infection unspecified"", value: 1}","{id:""Behavioral Mental Disorder Not Otherwise Listed""}"
GI GU  Nausea , Diarrhea unspecified,1,"{source:""GI GU Nausea"", target:""Diarrhea unspecified"", value: 1}","{id:""Behavioral Strange Behavior""}"
GI GU  Nausea , Epigastric pain,1,"{source:""GI GU Nausea"", target:""Epigastric pain"", value: 1}","{id:""Behavioral Suicidal Homicidal Ideation""}"
GI GU  Nausea , Other acute postprocedural pain,1,"{source:""GI GU Nausea"", target:""Other acute postprocedural pain"", value: 1}","{id:""Behavioral Suicide Attempt""}"
GI GU  Nausea , Other fatigue,1,"{source:""GI GU Nausea"", target:""Other fatigue"", value: 1}","{id:""Behavioral Violent""}"
GI GU  Nausea , Type 1 diabetes mellitus with ketoacidosis without coma,1,"{source:""GI GU Nausea"", target:""Type 1 diabetes mellitus with ketoacidosis without coma"", value: 1}","{id:""Breathing Problem""}"
Hyperglycemia , Oth diabetes mellitus with ketoacidosis without coma,1,"{source:""Hyperglycemia"", target:""Oth diabetes mellitus with ketoacidosis without coma"", value: 1}","{id:""Chest Pain Non Traumatic""}"
Hypotension , Acute posthemorrhagic anemia,1,"{source:""Hypotension"", target:""Acute posthemorrhagic anemia"", value: 1}","{id:""Chest pain on breathing""}"
Neuro  Altered Mental Status altered LOC decreased LOC , Anemia unspecified,1,"{source:""Neuro Altered Mental Status altered LOC decreased LOC"", target:""Anemia unspecified"", value: 1}","{id:""Chest pain unspecified""}"
Other fatigue , Pain unspecified,1,"{source:""Other fatigue"", target:""Pain unspecified"", value: 1}","{id:""Chronic obstructive pulmonary disease unspecified""}"
Pain  Not Elsewhere Mentioned Sudden Onset , Pain unspecified,1,"{source:""Pain Not Elsewhere Mentioned Sudden Onset"", target:""Pain unspecified"", value: 1}","{id:""Concussion""}"
Pain unspecified , Bradycardia unspecified,1,"{source:""Pain unspecified"", target:""Bradycardia unspecified"", value: 1}","{id:""CV Cardiac Arrest""}"
Pain unspecified , Chondrocostal junction syndrome [Tietze],1,"{source:""Pain unspecified"", target:""Chondrocostal junction syndrome [Tietze]"", value: 1}","{id:""CV Cardiac Arrhythmia Dysrhythmia""}"
Pain unspecified , Dehydration,1,"{source:""Pain unspecified"", target:""Dehydration"", value: 1}","{id:""CV Chest Pain Angina""}"
Pain unspecified , Dermatitis unspecified,1,"{source:""Pain unspecified"", target:""Dermatitis unspecified"", value: 1}","{id:""CV Chest Pain Myocardial Infarction Non STEMI""}"
Pain unspecified , Epigastric pain,1,"{source:""Pain unspecified"", target:""Epigastric pain"", value: 1}","{id:""CV Chest Pain Presumed Cardiac""}"
Pain unspecified , Essential primary hypertension,1,"{source:""Pain unspecified"", target:""Essential primary hypertension"", value: 1}","{id:""CV Chest Pain STEMI of Anterior Wall""}"
Pain unspecified , Fever unspecified,1,"{source:""Pain unspecified"", target:""Fever unspecified"", value: 1}","{id:""CV Chest Pain STEMI of Inferior Wall""}"
Pain unspecified , Major depressive disorder single episode unspecified,1,"{source:""Pain unspecified"", target:""Major depressive disorder single episode unspecified"", value: 1}","{id:""CV Chest Pain STEMI of other sites""}"
Pain unspecified , Opioid dependence with withdrawal,1,"{source:""Pain unspecified"", target:""Opioid dependence with withdrawal"", value: 1}","{id:""CV Congestive Heart Failure CHF""}"
Respiratory  Acute Onset Distress , Chronic diastolic congestive heart failure,1,"{source:""Respiratory Acute Onset Distress"", target:""Chronic diastolic congestive heart failure"", value: 1}","{id:""CV Hypertension""}"
Respiratory  Acute Onset Distress , Chronic respiratory failure with hypercapnia,1,"{source:""Respiratory Acute Onset Distress"", target:""Chronic respiratory failure with hypercapnia"", value: 1}","{id:""CV Hypotension""}"
Respiratory  Acute Onset Distress , Chronic respiratory failure with hypoxia,1,"{source:""Respiratory Acute Onset Distress"", target:""Chronic respiratory failure with hypoxia"", value: 1}","{id:""CV Pulmonary Embolism""}"
Respiratory  Acute Onset Distress , Pain unspecified,1,"{source:""Respiratory Acute Onset Distress"", target:""Pain unspecified"", value: 1}","{id:""Dehydration""}"
Respiratory  Not Otherwise Listed , Weakness,1,"{source:""Respiratory Not Otherwise Listed"", target:""Weakness"", value: 1}","{id:""Dental Tooth Pain""}"
Sick Person , Acute kidney failure,1,"{source:""Sick Person"", target:""Acute kidney failure"", value: 1}","{id:""Diarrhea unspecified""}"
Sick Person , Hypotension,1,"{source:""Sick Person"", target:""Hypotension"", value: 1}","{id:""EENT Nose Bleed""}"
Stupor , Vomiting unspecified,1,"{source:""Stupor"", target:""Vomiting unspecified"", value: 1}","{id:""Encounter for general adult medical examination without abnormal findings""}"
Vertigo  Dizziness , Vomiting unspecified,1,"{source:""Vertigo Dizziness"", target:""Vomiting unspecified"", value: 1}","{id:""Endocrine Hyperglycemia Diabetic Diabetes""}"
Vomiting , Acute kidney failure unspecified,1,"{source:""Vomiting"", target:""Acute kidney failure unspecified"", value: 1}","{id:""Endocrine Hypoglycemia Diabetic Diabetes""}"
Vomiting , Dehydration,1,"{source:""Vomiting"", target:""Dehydration"", value: 1}","{id:""Environment Hypothermia""}"
Vomiting , Neoplasm related pain acute chronic,1,"{source:""Vomiting"", target:""Neoplasm related pain acute chronic"", value: 1}","{id:""Environment Poisoning Drug Ingestion overdose""}"
Vomiting , Syncope and collapse,1,"{source:""Vomiting"", target:""Syncope and collapse"", value: 1}","{id:""Falls""}"
Weakness , Anemia unspecified,1,"{source:""Weakness"", target:""Anemia unspecified"", value: 1}","{id:""Fever""}"
Weakness , Pain unspecified,1,"{source:""Weakness"", target:""Pain unspecified"", value: 1}","{id:""General Malaise""}"
Abdominal tenderness , Noninfective gastroenteritis and colitis unspecified,2,"{source:""Abdominal tenderness"", target:""Noninfective gastroenteritis and colitis unspecified"", value: 2}","{id:""GI Bleed Hematemesis vomiting blood blood in vomit""}"
Abdominal tenderness , Urinary tract infection site not specified,2,"{source:""Abdominal tenderness"", target:""Urinary tract infection site not specified"", value: 2}","{id:""GI GU Abdominal Pain Acute Onset""}"
